unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.67E+12,26/10/2022 00:00,BTC/USDT,20079.02,20151.04,20050.41,20111.89,4187.41028,84158709.56,91496
1.67E+12,25/10/2022 23:00,BTC/USDT,20063.3,20135.35,20039.29,20080.07,8544.85676,171627527.2,220827
1.67E+12,25/10/2022 22:00,BTC/USDT,20231,20235.41,19981.12,20063.3,9074.95346,182284740.9,258379
1.67E+12,25/10/2022 21:00,BTC/USDT,20188.99,20270,20100,20232.3,9360.63531,188711083.8,239112
1.67E+12,25/10/2022 20:00,BTC/USDT,20276.26,20296.92,20007,20188.99,24000.12808,482778494.5,480884
1.67E+12,25/10/2022 19:00,BTC/USDT,20273.8,20415.87,20205.04,20273.14,21461.25736,435773130.4,447635
1.67E+12,25/10/2022 18:00,BTC/USDT,20118.55,20412.8,20078.23,20273.8,32773.30295,663821174.2,600081
1.67E+12,25/10/2022 17:00,BTC/USDT,19813.64,20192.97,19810.51,20118.55,41354.19752,828102073.9,722702
1.67E+12,25/10/2022 16:00,BTC/USDT,19748.48,19840.7,19718,19813.64,23508.3521,465036996.8,469103
1.67E+12,25/10/2022 15:00,BTC/USDT,19490.04,19811,19484.54,19748.48,33636.02692,661337240.7,590890
1.67E+12,25/10/2022 14:00,BTC/USDT,19478.39,19544.44,19445,19490.06,19202.51018,374233914.7,427102
1.67E+12,25/10/2022 13:00,BTC/USDT,19328.3,19526.17,19326.9,19478.39,26534.21803,515437543.3,527270
1.67E+12,25/10/2022 12:00,BTC/USDT,19301.39,19344.62,19260.82,19328.3,8585.161,165685241.7,221766
1.67E+12,25/10/2022 11:00,BTC/USDT,19296.5,19327.16,19277.54,19302.13,5843.42436,112795761.7,172217
1.67E+12,25/10/2022 10:00,BTC/USDT,19265.57,19298.67,19237,19296.5,6156.29294,118643913.4,180404
1.67E+12,25/10/2022 09:00,BTC/USDT,19296.41,19297.32,19255.04,19265.57,6834.10662,131753705.2,189136
1.67E+12,25/10/2022 08:00,BTC/USDT,19306.34,19322.42,19271,19296.98,4923.04336,95036669.64,156874
1.67E+12,25/10/2022 07:00,BTC/USDT,19329.98,19340,19272.85,19306.75,6588.9971,127201292.1,184533
1.67E+12,25/10/2022 06:00,BTC/USDT,19336.61,19366.31,19321.8,19329.98,6202.36036,119977128.8,167217
1.67E+12,25/10/2022 05:00,BTC/USDT,19341.96,19345.27,19290.36,19336.61,5122.45601,98969389.57,150933
1.67E+12,25/10/2022 04:00,BTC/USDT,19342.41,19377.1,19330.06,19341.96,3774.78405,73019929.07,123254
1.67E+12,25/10/2022 03:00,BTC/USDT,19311.1,19365.32,19305.39,19342.02,5445.61529,105323451.6,162822
1.67E+12,25/10/2022 02:00,BTC/USDT,19298.15,19316.67,19276.38,19311.9,3915.63896,75555098.17,139088
1.67E+12,25/10/2022 01:00,BTC/USDT,19309.53,19317.38,19250,19297.63,7087.08928,136644801.3,196504
1.67E+12,25/10/2022 00:00,BTC/USDT,19330.6,19339.6,19276.35,19308.75,6441.26261,124400973.9,185954
1.67E+12,24/10/2022 23:00,BTC/USDT,19360.39,19365.32,19320.73,19329.72,3964.92505,76692392.68,117304
1.67E+12,24/10/2022 22:00,BTC/USDT,19366.42,19373.95,19303.2,19361.13,5304.62127,102576244.7,146050
1.67E+12,24/10/2022 21:00,BTC/USDT,19378.53,19419.15,19329.66,19366.42,5921.40096,114685586.9,146516
1.67E+12,24/10/2022 20:00,BTC/USDT,19343.95,19381.47,19301.11,19378.53,6218.25049,120264568.4,157698
1.67E+12,24/10/2022 19:00,BTC/USDT,19334.65,19425.05,19330,19343.23,10079.96638,195258071.1,237812
1.67E+12,24/10/2022 18:00,BTC/USDT,19284.65,19349.55,19281.85,19334.65,7710.41258,148991027.4,189560
1.67E+12,24/10/2022 17:00,BTC/USDT,19272.81,19299.9,19223,19285.52,7147.37833,137692600.5,199313
1.67E+12,24/10/2022 16:00,BTC/USDT,19301.96,19318.64,19253.94,19272.81,8652.25701,166865703.9,216831
1.67E+12,24/10/2022 15:00,BTC/USDT,19277.53,19312.51,19245.14,19301.96,11851.0686,228417376.1,270344
1.67E+12,24/10/2022 14:00,BTC/USDT,19352.4,19356.56,19157,19276.76,25338.1752,487805100.1,500957
1.67E+12,24/10/2022 13:00,BTC/USDT,19373.62,19400.82,19294.33,19352.4,20602.34376,398676786.6,414987
1.67E+12,24/10/2022 12:00,BTC/USDT,19422.9,19450.9,19317.86,19373.05,13351.45858,258726281.4,291307
1.67E+12,24/10/2022 11:00,BTC/USDT,19402.1,19444.44,19362.13,19423.63,9500.34357,184347084.9,209352
1.67E+12,24/10/2022 10:00,BTC/USDT,19381.48,19444.44,19365.45,19403.21,12359.00236,239798927,256220
1.67E+12,24/10/2022 09:00,BTC/USDT,19340.28,19405.43,19312,19382.51,8730.15141,168954441.9,199350
1.67E+12,24/10/2022 08:00,BTC/USDT,19322.4,19344.51,19292.3,19340.28,8088.68661,156281363.3,203476
1.67E+12,24/10/2022 07:00,BTC/USDT,19293.5,19341.46,19250.59,19322.4,16546.84481,319290696.7,329636
1.67E+12,24/10/2022 06:00,BTC/USDT,19335.76,19366,19283.25,19295.21,10015.73096,193659850.9,221217
1.67E+12,24/10/2022 05:00,BTC/USDT,19336.06,19355.7,19292.65,19336.43,7984.15179,154302855.1,181618
1.67E+12,24/10/2022 04:00,BTC/USDT,19391.97,19392.41,19260,19336.06,10574.78988,204310844.2,214821
1.67E+12,24/10/2022 03:00,BTC/USDT,19414.97,19435.52,19342.33,19391.97,10196.90396,197670359.9,216496
1.67E+12,24/10/2022 02:00,BTC/USDT,19411.49,19477.45,19390.88,19414.68,8260.47764,160571244.7,188199
1.67E+12,24/10/2022 01:00,BTC/USDT,19518.14,19527.72,19366,19412.47,14512.1341,282128297.1,298780
1.67E+12,24/10/2022 00:00,BTC/USDT,19570.4,19601.15,19491.84,19518.82,13256.66937,259191471.3,269055
1.67E+12,23/10/2022 23:00,BTC/USDT,19592.96,19608.77,19517.93,19570.4,11996.54726,234756363.3,242238
1.67E+12,23/10/2022 22:00,BTC/USDT,19538.12,19695,19538.11,19592.96,22269.34564,436767813.1,410974
1.67E+12,23/10/2022 21:00,BTC/USDT,19496.03,19599,19445.68,19538.12,7443.4667,145199759.7,193511
1.67E+12,23/10/2022 20:00,BTC/USDT,19500.38,19522.95,19441.96,19496.63,8346.94465,162596273.5,193710
1.67E+12,23/10/2022 19:00,BTC/USDT,19438.41,19522.11,19436.73,19499.83,7647.73763,148981299.4,183220
1.67E+12,23/10/2022 18:00,BTC/USDT,19474.75,19553.96,19399.65,19437.83,18875.17234,367533213.6,367999
1.67E+12,23/10/2022 17:00,BTC/USDT,19178.69,19500,19171,19476.02,16962.35381,327894443.3,336151
1.67E+12,23/10/2022 16:00,BTC/USDT,19190.14,19203.98,19169.18,19178.34,4365.88969,83755818.1,124634
1.67E+12,23/10/2022 15:00,BTC/USDT,19187.17,19213.14,19178.31,19190.14,4682.45297,89861047.69,133227
1.67E+12,23/10/2022 14:00,BTC/USDT,19176.27,19210.54,19173.61,19187.66,5747.12672,110284975.7,147071
1.67E+12,23/10/2022 13:00,BTC/USDT,19151.54,19180.31,19142,19176.27,4613.19817,88396793.01,136672
1.67E+12,23/10/2022 12:00,BTC/USDT,19151.24,19158.84,19070.11,19150.81,7081.5189,135461356.4,185914
1.67E+12,23/10/2022 11:00,BTC/USDT,19170,19172.7,19125.63,19151.78,6186.1326,118436391.5,159434
1.67E+12,23/10/2022 10:00,BTC/USDT,19184.13,19188.08,19164.5,19170.01,3048.88004,58459309.62,92926
1.67E+12,23/10/2022 09:00,BTC/USDT,19184.09,19188.7,19176.77,19184.13,2989.4832,57345809.03,90399
